Years,Salary
10,4323
1,2496
2,2664
8,3717
2,2535
8,4150
3,3129
9,4458
1,2705
1,2733
5,3090
3,2756
2,2697
6,3362
6,3696
8,3745
5,3575
2,2896
9,3838
9,3914
2,2623
4,3217
7,3775
3,2944
3,2899
1,2721
1,2206
8,3676
7,3480
10,4659
10,4598
6,3782
8,4208
8,4153
1,2373
9,4467
1,2459
9,3832
6,3835
6,3360
8,3978
3,3072
4,3397
2,2510
1,2492
4,3390
9,4382
8,4108
2,3063
5,3551
9,4437
3,2878
1,2636
4,3466
10,4573
6,3533
7,3924
2,2695
3,2885
1,2853
1,2785
9,4469
9,4220
5,3416
2,2498
2,2493
10,4486
3,2865
9,4250
4,2872
1,2382
5,3387
3,2989
3,2867
9,4194
7,4031
8,4218
3,2799
8,4038
7,3626
5,3550
7,3654
5,3185
5,3281
10,4246
2,2981
6,3311
7,4093
5,3026
2,2980
2,3069
5,3163
8,3859
4,2846
6,3765
4,3298
4,3140
2,2509
7,3606
9,4042
2,2835
2,2996
8,3773
5,3166
9,4236
6,3626
6,3238
3,3009
6,3629
8,4159
1,2585
2,2509
1,2720
6,3267
8,3774
5,3193
7,3684
3,3025
5,3216
3,2803
8,4157
2,2862
2,2944
6,3780
2,2459
4,3467
4,2910
3,3164
4,3249
4,3246
3,3020
1,2354
10,4304
3,2871
4,3370
1,2535
9,4212
4,2943
8,3705
3,3263
10,4344
8,3664
3,2707
3,2628
7,3872
10,4394
2,2487
2,3081
7,3595
6,3532
2,2755
9,3900
2,2529
9,4147
7,3886
3,2972
7,3683
2,3099
7,3555
9,4392
10,4178
3,2898
10,4192
4,3332
5,3147
10,4114
5,3547
6,3344
4,3240
2,2851
10,4657
6,3582
10,4125
9,4161
10,4605
6,3397
3,3231
1,2235
8,3749
2,3033
1,2355
1,2515
2,3064
3,3186
3,2829
10,4055
7,3842
4,3188
2,2960
1,2552
1,2508
2,2847
8,4226
9,4163
9,4412
8,4187
4,3201
5,3694
1,2645
2,2811
10,4239
6,3794
7,3644
8,4129
8,3723
6,3490
1,2259
10,4492
4,2844
2,2440
5,3436
4,3132
8,3881
9,4308
9,4111
8,4190
1,2345
4,3283
1,2582
4,3457
10,4300
2,2496
7,3821
5,3130
4,3089
6,3876
2,2889
3,2965
5,3203
8,4060
8,3704
1,2385
5,3010
7,3917
2,2939
2,2774
6,3759
4,3363
9,4179
10,4690
7,3521
5,3228
6,3593
3,3271
7,3577
1,2639
10,4422
4,3477
10,4065
6,3346
4,3139
7,3963
7,3704
2,2607
5,3470
3,2910
7,3433
9,3904
1,2675
6,3665
7,3840
2,2716
8,3969
10,4686
5,3076
5,3060
10,4689
3,2863
4,2872
9,4013
8,3807
5,3020
6,3439
3,3057
8,3995
3,3208
7,3574
5,3304
3,3066
7,3464
2,2427
3,2667
3,3161
6,3692
2,2881
5,3528
5,3299
